Meter,SampleDate,SampleId,Region,SiteCode,TidalHeight,Transect,Blade,LongestBladeLength,LongestBladeWidth,SheathLength,ScannedBladeLength,ScannedBladeWidth,PrevalenceHand,GrazingScars,BrokenTip,EpiphyteDryMass,BladeAreaHand,Notes,Year,NumberLeaves,Prevalence,LesionArea,HealthyArea,BladeArea,Severity
m12,2019-07-14,AK.A.4.L.18,AK,A,L,4,18,259,2,17,256,2,NA,0,N,0,5.12,NA,2019,NA,1,3.632050483,17.48898681,21.121037293,0.171963641397657
m16,2019-07-14,AK.A.4.L.19,AK,A,L,4,19,263,2,4,136,2,NA,1,Y,0.002,2.72,NA,2019,NA,1,5.943592314,5.838710995,11.782303309,0.504450798636286
m20,2019-07-14,AK.A.4.L.20,AK,A,L,4,20,220,2,4,199,2,NA,0,Y,0.00600000000000001,3.98,NA,2019,NA,1,3.822343379,10.19923181,14.021575189,0.272604420507522
m4,2019-07-14,AK.A.5.L.16,AK,A,L,5,16,904,5,80,520,5,NA,0,Y,0.005,26,NA,2019,NA,0,0,26.43965632,26.43965632,0
m8,2019-07-14,AK.A.5.L.17,AK,A,L,5,17,817,6,37,714,6,NA,1,Y,0.00700000000000001,42.84,NA,2019,NA,1,2.645817325,34.62029129,42.84,0.0617604417600373
m12,2019-07-14,AK.A.5.L.18,AK,A,L,5,18,456,6,68,456,6,NA,1,Y,0.015,27.36,NA,2019,NA,0,0,26.60102326,27.36,0
m16,2019-07-14,AK.A.5.L.19,AK,A,L,5,19,916,5,115,495,5,NA,0,Y,0.00700000000000001,24.75,NA,2019,NA,1,0.315147328,18.50355267,24.75,0.0127332253737374
m20,2019-07-14,AK.A.5.L.20,AK,A,L,5,20,668,5,57,461,4,NA,1,Y,0.00900000000000001,18.44,NA,2019,NA,0,0,17.8341028,18.44,0
m4,2019-07-14,AK.A.6.L.16,AK,A,L,6,16,606,3,111,606,3,NA,1,N,0.002,18.18,NA,2019,NA,1,1.204355379,16.61671366,18.18,0.0662461704620462
m8,2019-07-14,AK.A.6.L.17,AK,A,L,6,17,491,3,109,397,3,NA,1,N,0.004,11.91,NA,2019,NA,1,7.595320269,4.326776858,11.922097127,0.637079214176075
m12,2019-07-14,AK.A.6.L.18,AK,A,L,6,18,492,2,140,353,2,NA,0,N,0.005,7.06,NA,2019,NA,1,0.92674528,5.735213952,7.06,0.131267036827195
m16,2019-07-14,AK.A.6.L.19,AK,A,L,6,19,488,2,130,488,2,NA,0,N,0.00800000000000001,9.76,NA,2019,NA,1,0.034876544,11.24435958,11.279236124,0.00309210159416643
m20,2019-07-14,AK.A.6.L.20,AK,A,L,6,20,247,2,62,247,2,NA,0,Y,0.003,4.94,NA,2019,NA,0,0,3.766936416,4.94,0
m4,2019-07-15,AK.B.1.U.16,AK,B,U,1,16,499,4,75,499,5,NA,1,N,0.004,24.95,NA,2019,NA,1,1.846982669,18.29778106,24.95,0.0740273614829659
m8,2019-07-15,AK.B.1.U.17,AK,B,U,1,17,622,6,39,611,6,NA,1,N,0.001,36.66,NA,2019,NA,1,0.247911104,30.19713652,36.66,0.00676244146208402
m12,2019-07-15,AK.B.1.U.18,AK,B,U,1,18,651,5.5,33,651,5.5,NA,1,N,0.005,35.805,NA,2019,NA,1,0.718744448,29.93538266,35.805,0.0200738569473537
m16,2019-07-15,AK.B.1.U.19,AK,B,U,1,19,574,5,32,525,5.5,NA,1,Y,0.00600000000000001,28.875,NA,2019,NA,1,1.895378368,23.22278053,28.875,0.0656408092813853
m20,2019-07-15,AK.B.1.U.20,AK,B,U,1,20,352,5,27,352,5,NA,1,N,0.001,17.6,NA,2019,NA,1,0.134472448,13.16684817,17.6,0.00764048
m4,2019-07-15,AK.B.2.U.16,AK,B,U,2,16,641,5,22,451,5,NA,1,N,0.003,22.55,NA,2019,NA,0,0,19.45927784,22.55,0
m8,2019-07-15,AK.B.2.U.17,AK,B,U,2,17,751,5,56,751,5,NA,1,N,0.004,37.55,NA,2019,NA,1,1.024327693,28.87493797,37.55,0.02727903310253
m12,2019-07-15,AK.B.2.U.18,AK,B,U,2,18,754,5,112,754,5,NA,1,N,0.003,37.7,NA,2019,NA,1,1.362342528,33.92612222,37.7,0.0361364065782493
m16,2019-07-15,AK.B.2.U.19,AK,B,U,2,19,666,5,178,666,5,NA,0,N,0.004,33.3,NA,2019,NA,0,0,29.93097815,33.3,0
m20,2019-07-15,AK.B.2.U.20,AK,B,U,2,20,695,6,167,695,6,NA,0,N,0.004,41.7,NA,2019,NA,1,0.1365938048,34.78439082,41.7,0.00327563081055156
m4,2019-07-15,AK.B.3.U.16,AK,B,U,3,16,871,6,45,852,6,NA,1,N,0.012,51.12,NA,2019,NA,0,0,38.63841073,51.12,0
m8,2019-07-15,AK.B.3.U.17,AK,B,U,3,17,837,7,67,837,7,NA,0,N,0.005,58.59,NA,2019,NA,0,0,51.76196884,58.59,0
m12,2019-07-15,AK.B.3.U.18,AK,B,U,3,18,796,6,175,796,6,NA,1,N,0.005,47.76,NA,2019,NA,1,0.328630528,39.04743709,47.76,0.00688087370184255
m16,2019-07-15,AK.B.3.U.19,AK,B,U,3,19,299,4,34,255,4,NA,0,N,0.04,10.2,NA,2019,NA,0,0,6.580574637,10.2,0
m20,2019-07-15,AK.B.3.U.20,AK,B,U,3,20,678,5,164,678,3,NA,1,N,0,20.34,NA,2019,NA,1,0.3625003264,22.57634199,22.9388423164,0.015802904148342
m4,2019-07-15,AK.B.4.L.16,AK,B,L,4,16,199,3,26,40,3,NA,0,Y,0.001,1.2,NA,2019,NA,0,0,0.9680757824,1.2,0
m8,2019-07-15,AK.B.4.L.17,AK,B,L,4,17,404,5,36,182,4,NA,1,Y,0.004,7.28,NA,2019,NA,1,0.224899776,7.361881133,7.586780909,0.0296436365696559
m12,2019-07-15,AK.B.4.L.18,AK,B,L,4,18,574,4,25,535,4,NA,0,N,0.004,21.4,NA,2019,NA,0,0,19.44297215,21.4,0
m16,2019-07-15,AK.B.4.L.19,AK,B,L,4,19,949,8,122,949,8,NA,0,N,0.01,75.92,NA,2019,NA,0,0,66.55194261,75.92,0
m20,2019-07-15,AK.B.4.L.20,AK,B,L,4,20,429,3,75,330,3,NA,0,N,0.003,9.9,NA,2019,NA,0,0,8.939127891,9.9,0
m4,2019-07-15,AK.B.5.L.16,AK,B,L,5,16,904,6,233,819,6,NA,0,N,0.001,49.14,NA,2019,NA,0,0,41.63103394,49.14,0
m8,2019-07-15,AK.B.5.L.17,AK,B,L,5,17,481,5,140,411,5,NA,0,N,0.002,20.55,NA,2019,NA,0,0,13.62035111,20.55,0
m12,2019-07-15,AK.B.5.L.18,AK,B,L,5,18,629,5,166,580,5,NA,0,N,0.002,29,NA,2019,NA,0,0,22.18843932,29,0
m16,2019-07-15,AK.B.5.L.19,AK,B,L,5,19,929,6,346,929,6,NA,0,N,0.005,55.74,NA,2019,NA,0,0,51.15562035,55.74,0
m20,2019-07-15,AK.B.5.L.20,AK,B,L,5,20,673,6,245,443,6,NA,0,Y,0.005,26.58,NA,2019,NA,0,0,23.67238233,26.58,0
m4,2019-07-15,AK.B.6.L.16,AK,B,L,6,16,886,5,23,866,5,NA,1,N,0.005,43.3,NA,2019,NA,0,0,38.47724155,43.3,0
m8,2019-07-15,AK.B.6.L.17,AK,B,L,6,17,1046,6,27,1046,6,NA,0,N,0.004,62.76,NA,2019,NA,0,0,58.14457415,62.76,0
m12,2019-07-15,AK.B.6.L.18,AK,B,L,6,18,698,5.5,65,690,6,NA,0,N,0.00900000000000001,41.4,NA,2019,NA,0,0,34.38913531,41.4,0
m16,2019-07-15,AK.B.6.L.19,AK,B,L,6,19,506,3,55,366,3.5,NA,0,N,0.004,12.81,NA,2019,NA,0,0,11.30629242,12.81,0
m20,2019-07-15,AK.B.6.L.20,AK,B,L,6,20,430,3,35,340,3,NA,0,N,0.004,10.2,NA,2019,NA,0,0,9.08677792,10.2,0
m4,2019-07-16,AK.C.1.U.16,AK,C,U,1,16,250,3,40,207,2,NA,0,N,0.001,4.14,NA,2019,NA,0,0,6.738184256,6.738184256,0
m8,2019-07-16,AK.C.1.U.17,AK,C,U,1,17,275,5,60,93,4,NA,0,N,0.001,3.72,NA,2019,NA,0,0,10.17931263,10.17931263,0
m12,2019-07-16,AK.C.1.U.18,AK,C,U,1,18,609,5,20,416,5,NA,0,N,0.001,20.8,NA,2019,NA,0,0,20.39377146,20.8,0
m16,2019-07-16,AK.C.1.U.19,AK,C,U,1,19,413,4,80,368,4,NA,0,N,0.004,14.72,NA,2019,NA,0,0,12.50065225,14.72,0
m20,2019-07-16,AK.C.1.U.20,AK,C,U,1,20,208,4,71,177,3,NA,1,N,0.001,5.31,NA,2019,NA,1,0.199371584,5.605847142,5.805218726,0.0343435094197345
m4,2019-07-16,AK.C.2.U.16,AK,C,U,2,16,322,2,72,322,2,NA,1,N,9.9999999999994e-4,6.44,NA,2019,NA,0,0,8.77486656,8.77486656,0
m8,2019-07-16,AK.C.2.U.17,AK,C,U,2,17,381,3,58,381,3,NA,0,N,0.002,11.43,NA,2019,NA,1,3.325496448,8.84587808,12.171374528,0.273222752315259
m12,2019-07-16,AK.C.2.U.18,AK,C,U,2,18,415,5,96,415,5,NA,1,N,0.002,20.75,NA,2019,NA,1,2.07274537,16.31941809,20.75,0.0998913431325301
m16,2019-07-16,AK.C.2.U.19,AK,C,U,2,19,402,4,78,388,3,NA,1,N,0.001,11.64,NA,2019,NA,1,0.1592635584,12.4147373,12.5740008584,0.0126661004873087
m20,2019-07-16,AK.C.2.U.20,AK,C,U,2,20,395,3,58,260,3,NA,0,N,0.001,7.8,NA,2019,NA,1,1.040058093,6.793914816,7.833972909,0.132762533784759
m4,2019-07-16,AK.C.3.U.16,AK,C,U,3,16,718,4,61,626,4,NA,0,Y,0.005,25.04,NA,2019,NA,0,0,29.63449157,29.63449157,0
m8,2019-07-16,AK.C.3.U.17,AK,C,U,3,17,534,3,54,435,4,NA,0,N,0.001,17.4,NA,2019,NA,0,0,15.35957604,17.4,0
m12,2019-07-16,AK.C.3.U.18,AK,C,U,3,18,371,3,72,280,3,NA,1,Y,0.00600000000000001,8.4,NA,2019,NA,1,0.039191168,9.628622784,9.667813952,0.00405377763727988
m16,2019-07-16,AK.C.3.U.19,AK,C,U,3,19,581,5,64,452,4,NA,0,Y,0.002,18.08,NA,2019,NA,0,0,22.91119277,22.91119277,0
m20,2019-07-16,AK.C.3.U.20,AK,C,U,3,20,705,6,74,675,5,NA,0,Y,0.005,33.75,NA,2019,NA,1,0.322338368,39.22845354,39.550791908,0.00814998518233968
m4,2019-07-16,AK.C.4.L.16,AK,C,L,4,16,345,3,98,276,3,NA,0,Y,0.002,8.28,NA,2019,NA,0,0,7.305826976,8.28,0
m8,2019-07-16,AK.C.4.L.17,AK,C,L,4,17,569,5.5,159,569,5.5,NA,0,Y,0.001,31.295,NA,2019,NA,0,0,29.57814977,31.295,0
m12,2019-07-16,AK.C.4.L.18,AK,C,L,4,18,423,3.5,141,423,3.5,NA,0,N,0.002,14.805,NA,2019,NA,0,0,13.74116058,14.805,0
m16,2019-07-16,AK.C.4.L.19,AK,C,L,4,19,410,4,160,410,4,NA,0,Y,0.005,16.4,NA,2019,NA,0,0,15.62224676,16.4,0
m20,2019-07-16,AK.C.4.L.20,AK,C,L,4,20,772,5,267,736,5,NA,0,Y,0.005,36.8,NA,2019,NA,1,0.262293184,32.8808686,36.8,0.00712753217391304
m4,2019-07-16,AK.C.5.L.16,AK,C,L,5,16,234,3,68,231,3,NA,0,Y,0.002,6.93,NA,2019,NA,0,0,8.558775808,8.558775808,0
m8,2019-07-16,AK.C.5.L.17,AK,C,L,5,17,473,3,126,473,3,NA,1,N,0.002,14.19,NA,2019,NA,0,0,17.24477909,17.24477909,0
m12,2019-07-16,AK.C.5.L.18,AK,C,L,5,18,720,4.5,152,656,4.5,NA,1,Y,0.003,29.52,NA,2019,NA,0,0,27.43797043,29.52,0
m16,2019-07-16,AK.C.5.L.19,AK,C,L,5,19,966,6.5,62,869,6,NA,0,Y,0.003,52.14,NA,2019,NA,0,0,54.04533978,54.04533978,0
m20,2019-07-16,AK.C.5.L.20,AK,C,L,5,20,1038,6,112,1038,6,NA,1,Y,0.005,62.28,NA,2019,NA,1,0.1281443328,57.79879299,62.28,0.00205755190751445
m4,2019-07-16,AK.C.6.L.16,AK,C,L,6,16,769,3,237,769,5,NA,1,N,0.003,38.45,NA,2019,NA,1,0.477574944,35.38504042,38.45,0.0124206747464239
m8,2019-07-16,AK.C.6.L.17,AK,C,L,6,17,517,5,190,426,4.5,NA,0,Y,0.003,19.17,NA,2019,NA,0,0,16.35675756,19.17,0
m12,2019-07-16,AK.C.6.L.18,AK,C,L,6,18,609,4.5,186,609,4.5,NA,0,Y,0.001,27.405,NA,2019,NA,0,0,25.63708232,27.405,0
m16,2019-07-16,AK.C.6.L.19,AK,C,L,6,19,503,5,179,457,5,NA,0,Y,0.003,22.85,NA,2019,NA,0,0,19.59705816,22.85,0
m20,2019-07-16,AK.C.6.L.20,AK,C,L,6,20,680,5.5,224,547,5.5,NA,1,N,0.004,30.085,NA,2019,NA,0,0,29.01291605,30.085,0
m4,2019-07-17,AK.D.1.U.16,AK,D,U,1,16,499.5,6.5,144,199,6.5,NA,1,Y,0.001,12.935,NA,2019,NA,1,3.77709376,6.554399251,12.935,0.292005702357944
m8,2019-07-17,AK.D.1.U.17,AK,D,U,1,17,351,4,80,351,4,NA,1,N,0.001,14.04,NA,2019,NA,1,1.48135424,7.685244224,14.04,0.105509561253561
m12,2019-07-17,AK.D.1.U.18,AK,D,U,1,18,354,5,74,281,5,NA,1,N,0.001,14.05,NA,2019,NA,1,1.045217664,9.577764154,14.05,0.0743927162989324
m16,2019-07-17,AK.D.1.U.19,AK,D,U,1,19,213,4.5,63,209,4.5,NA,0,Y,0.001,9.405,NA,2019,NA,0,0,7.9281216,9.405,0
m20,2019-07-17,AK.D.1.U.20,AK,D,U,1,20,352,5,76,226,5,NA,1,N,0.001,11.3,NA,2019,NA,1,1.939908883,6.81568569,11.3,0.171673352477876
m4,2019-07-17,AK.D.2.U.16,AK,D,U,2,16,476,6,97,476,6,NA,1,N,0.001,28.56,NA,2019,NA,1,2.835247296,23.34745519,28.56,0.0992733647058824
m8,2019-07-17,AK.D.2.U.17,AK,D,U,2,17,386,5,83,386,5,NA,1,N,0.138,19.3,NA,2019,NA,1,0.75775584,15.18005173,19.3,0.0392619606217617
m12,2019-07-17,AK.D.2.U.18,AK,D,U,2,18,535,6,141,535,6,NA,1,N,0.001,32.1,NA,2019,NA,1,1.862713069,26.19411826,32.1,0.058028444517134
m16,2019-07-17,AK.D.2.U.19,AK,D,U,2,19,551,6,130,532,6,NA,1,N,0.003,31.92,NA,2019,NA,1,5.29305488,22.683883990000002,31.92,0.165822521303258
m20,2019-07-17,AK.D.2.U.20,AK,D,U,2,20,327,4,78,273,3.5,NA,0,N,0.002,9.555,NA,2019,NA,0,0,9.03412153,9.555,0
m4,2019-07-17,AK.D.3.U.16,AK,D,U,3,16,480,3,57,480,4.5,NA,1,N,0.003,21.6,NA,2019,NA,1,0.5135121664,18.04596881,21.6,0.0237737114074074
m8,2019-07-17,AK.D.3.U.17,AK,D,U,3,17,416,4,58,416,4,NA,1,Y,0.004,16.64,NA,2019,NA,1,0.3974487808,11.78550332,16.64,0.0238851430769231
m12,2019-07-17,AK.D.3.U.18,AK,D,U,3,18,560,6,119,594,6,NA,1,N,0.004,35.64,NA,2019,NA,1,1.341776154,30.93288778,35.64,0.0376480402356902
m16,2019-07-17,AK.D.3.U.19,AK,D,U,3,19,829,5,119,829,5,NA,1,Y,0.00899999999999995,41.45,NA,2019,NA,1,1.513857741,26.82248931,41.45,0.0365225027985525
m20,2019-07-17,AK.D.3.U.20,AK,D,U,3,20,485,4,93,459,4,NA,1,Y,0.003,18.36,NA,2019,NA,1,1.160993408,10.19491718,18.36,0.0632349350762527
m4,2019-07-17,AK.D.4.L.16,AK,D,L,4,16,463,5,130,419,4.5,NA,1,N,0.002,18.855,NA,2019,NA,0,0,NA,18.855,0
m8,2019-07-17,AK.D.4.L.17,AK,D,L,4,17,621,6,130,621,6,NA,0,N,0.0519999999999999,37.26,NA,2019,NA,0,0,NA,37.26,0
m12,2019-07-17,AK.D.4.L.18,AK,D,L,4,18,385,3,116,385,3,NA,1,N,0.003,11.55,NA,2019,NA,0,0,NA,11.55,0
m16,2019-07-17,AK.D.4.L.19,AK,D,L,4,19,319,4,82,294,4,NA,1,N,0.002,11.76,NA,2019,NA,0,0,NA,11.76,0
m20,2019-07-17,AK.D.4.L.20,AK,D,L,4,20,305,4,71,305,4,NA,1,N,0.002,12.2,NA,2019,NA,0,0,NA,12.2,0
m4,2019-07-17,AK.D.5.L.16,AK,D,L,5,16,328,5,29,303,4.5,NA,1,N,0.002,13.635,NA,2019,NA,0,0,12.68688221,13.635,0
m8,2019-07-17,AK.D.5.L.17,AK,D,L,5,17,489,5,18,456,5,NA,0,N,NA,22.8,NA,2019,NA,0,0,19.19761387,22.8,0
m12,2019-07-17,AK.D.5.L.18,AK,D,L,5,18,350,4,50,350,4,NA,0,N,0.001,14,NA,2019,NA,0,0,12.37919558,14,0
m16,2019-07-17,AK.D.5.L.19,AK,D,L,5,19,702,5,51,699,5,NA,0,N,0.001,34.95,NA,2019,NA,1,0.099595904,34.77829642,34.95,0.00284966821173104
m20,2019-07-17,AK.D.5.L.20,AK,D,L,5,20,753,6,24,656,6,NA,0,N,0.002,39.36,NA,2019,NA,0,0,33.71945173,39.36,0
m4,2019-07-17,AK.D.6.L.16,AK,D,L,6,16,619,6,209,619,6,NA,0,N,0.002,37.14,NA,2019,NA,0,0,24.46472707,37.14,0
m8,2019-07-17,AK.D.6.L.17,AK,D,L,6,17,342,4,74,264,4,NA,0,N,0.002,10.56,NA,2019,NA,0,0,6.725977466,10.56,0
m12,2019-07-17,AK.D.6.L.18,AK,D,L,6,18,442,5,96,391,5,NA,0,N,0.003,19.55,NA,2019,NA,1,0.11595552,12.76510275,19.55,0.00593122864450128
m16,2019-07-17,AK.D.6.L.19,AK,D,L,6,19,764,5.5,194,764,5.5,NA,0,N,0.001,42.02,NA,2019,NA,0,0,31.0711535,42.02,0
m20,2019-07-17,AK.D.6.L.20,AK,D,L,6,20,728,6.5,196,703,6.5,NA,0,N,0.001,45.695,NA,2019,NA,1,0.060404736,37.01357727,45.695,0.00132191128132181
m4,2019-07-18,AK.E.1.U.16,AK,E,U,1,16,280,3,65,269,3,NA,0,N,0.001,8.07,NA,2019,NA,0,0,8.592304032,8.592304032,0
m8,2019-07-18,AK.E.1.U.17,AK,E,U,1,17,201,3.5,57,182,3,NA,0,N,0.001,5.46,NA,2019,NA,0,0,6.00721504,6.00721504,0
m12,2019-07-18,AK.E.1.U.18,AK,E,U,1,18,186,2,46,154,2,NA,0,N,0.096,3.08,NA,2019,NA,0,0,3.10293376,3.10293376,0
m16,2019-07-18,AK.E.1.U.19,AK,E,U,1,19,317,4,66,312,4,NA,0,N,0.001,12.48,NA,2019,NA,0,0,12.11062822,12.48,0
m20,2019-07-18,AK.E.1.U.20,AK,E,U,1,20,262,3.5,61,83,3.5,NA,0,Y,0.001,2.905,NA,2019,NA,1,0.062562048,2.601448608,2.905,0.0215359889845095
m4,2019-07-18,AK.E.2.U.16,AK,E,U,2,16,172,3,6,152,2,NA,0,Y,0,3.04,NA,2019,NA,1,0.1155779904,2.57401479,3.04,0.0380190757894737
m8,2019-07-18,AK.E.2.U.17,AK,E,U,2,17,278,2,68,229,2,NA,0,N,0,4.58,NA,2019,NA,1,1.423933786,4.001220499,5.425154285,0.262468809400874
m12,2019-07-18,AK.E.2.U.18,AK,E,U,2,18,248,2,60,224,2,NA,0,N,0.001,4.48,NA,2019,NA,1,0.714250048,5.467689286,6.181939334,0.115538184606844
m16,2019-07-18,AK.E.2.U.19,AK,E,U,2,19,291,3,58,247,2,NA,1,N,0.001,4.94,NA,2019,NA,1,1.611655885,5.78961417,7.401270055,0.217753962904141
m20,2019-07-18,AK.E.2.U.20,AK,E,U,2,20,232,2.5,57,210,2.5,NA,0,N,0.001,5.25,NA,2019,NA,1,1.730523776,3.780221862,5.510745638,0.314027155248641
m4,2019-07-18,AK.E.3.U.16,AK,E,U,3,16,157,2,43,157,2,NA,0,N,0,3.14,NA,2019,NA,0,0,3.03454697,3.14,0
m8,2019-07-18,AK.E.3.U.17,AK,E,U,3,17,272,3,61,272,3,NA,1,N,0.001,8.16,NA,2019,NA,1,2.542392192,4.501231488,8.16,0.311567670588235
m12,2019-07-18,AK.E.3.U.18,AK,E,U,3,18,282,3,62,263,3,NA,0,N,0.001,7.89,NA,2019,NA,0,0,6.387009818,7.89,0
m16,2019-07-18,AK.E.3.U.19,AK,E,U,3,19,336,4,74,336,4,NA,1,N,0.001,13.44,NA,2019,NA,1,0.8296123072,10.28561418,13.44,0.0617271061904762
m20,2019-07-18,AK.E.3.U.20,AK,E,U,3,20,272,3,60,272,3,NA,0,N,0.002,8.16,NA,2019,NA,1,0.3709318208,7.145466784,8.16,0.0454573309803922
m4,2019-07-18,AK.E.4.L.16,AK,E,L,4,16,523,4.5,119,522,4,NA,1,N,0.002,20.88,NA,2019,NA,1,8.686830253,10.94014264,20.88,0.416035931657088
m8,2019-07-18,AK.E.4.L.17,AK,E,L,4,17,308,3,72,308,3,NA,1,N,0.002,9.24,NA,2019,NA,0,0,7.889433805,9.24,0
m12,2019-07-18,AK.E.4.L.18,AK,E,L,4,18,692,4,158,692,4,NA,1,N,0.002,27.68,NA,2019,NA,1,1.73124288,27.4639121,29.19515498,0.0592989789294141
m16,2019-07-18,AK.E.4.L.19,AK,E,L,4,19,213,3,50,164,2.5,NA,0,N,0.002,4.1,NA,2019,NA,0,0,4.097364704,4.1,0
m20,2019-07-18,AK.E.4.L.20,AK,E,L,4,20,558,5,125,558,5,NA,1,N,0.002,27.9,NA,2019,NA,1,1.334782867,25.32446984,27.9,0.0478416798207885
m4,2019-07-18,AK.E.5.L.16,AK,E,L,5,16,235,3,64,224,3,NA,0,N,0,6.72,NA,2019,NA,0,0,7.544929056,7.544929056,0
m8,2019-07-18,AK.E.5.L.17,AK,E,L,5,17,339,3.5,40,336,4,NA,0,N,0.001,13.44,NA,2019,NA,1,1.522522944,9.087245338,13.44,0.113282957142857
m12,2019-07-18,AK.E.5.L.18,AK,E,L,5,18,424,4.5,69,422,4.5,NA,0,N,0.002,18.99,NA,2019,NA,0,0,17.20395196,18.99,0
m16,2019-07-18,AK.E.5.L.19,AK,E,L,5,19,407,4,77,406,3,NA,1,N,0.001,12.18,NA,2019,NA,1,0.97798144,13.39088502,14.36886646,0.0680625324706372
m20,2019-07-18,AK.E.5.L.20,AK,E,L,5,20,391,3.5,82,332,3,NA,0,N,0.004,9.96,NA,2019,NA,1,1.881949101,9.1119285820000009,10.993877683,0.171181557159771
m4,2019-07-18,AK.E.6.L.16,AK,E,L,6,16,337,4,65,337,4,NA,0,N,0.001,13.48,NA,2019,NA,1,1.04090304,10.09888084,13.48,0.0772183264094956
m8,2019-07-18,AK.E.6.L.17,AK,E,L,6,17,456,4,99,397,4,NA,0,N,0.001,15.88,NA,2019,NA,1,4.535568704,9.35104864,15.88,0.28561515768262
m12,2019-07-18,AK.E.6.L.18,AK,E,L,6,18,416,4,101,361,4.5,NA,0,N,0.001,16.245,NA,2019,NA,0,0,9.227542528,16.245,0
m16,2019-07-18,AK.E.6.L.19,AK,E,L,6,19,357,4,87,271,4,NA,0,N,0.002,10.84,NA,2019,NA,1,2.563965312,10.41298547,12.976950782,0.19757841075859
m20,2019-07-18,AK.E.6.L.20,AK,E,L,6,20,373,4,91,373,4,NA,0,N,0.001,14.92,NA,2019,NA,1,2.248116858,10.14463384,14.92,0.150678073592493
m4,2019-07-19,AK.F.1.U.16,AK,F,U,1,16,187,2.5,61,179,2.5,NA,0,N,0.001,4.475,NA,2019,NA,0,0,4.780783168,4.780783168,0
m8,2019-07-19,AK.F.1.U.17,AK,F,U,1,17,319,5,93,280,4,NA,0,Y,0,11.2,NA,2019,NA,1,4.555290131,5.878117894,11.2,0.406722333125
m12,2019-07-19,AK.F.1.U.18,AK,F,U,1,18,271,3,75,242,3,NA,0,N,0.001,7.26,NA,2019,NA,0,0,7.351849632,7.351849632,0
